İl,İlçe,SEGE_Skor,Hane_Basina_ADSL_Abonesi
Bursa,Mudanya,1.037,0.4405
Tekirdağ,Çerkezköy,1.034,0.4231
Düzce,Merkez,1.032,0.4082
Çorum,Merkez,1.026,0.4283
Malatya,Yeşilyurt,1.023,0.4301
Bursa,İnegöl,1.018,0.4174
Tokat,Merkez,1.015,0.3344
İzmir,Kemalpaşa,0.983,0.3817
Kayseri,Hacılar,0.963,0.4475
Kocaeli,Çayırova,0.962,0.3767
Karabük,Merkez,0.962,0.374
Aksaray,Merkez,0.96,0.4343
İzmir,Torbalı,0.927,0.4365
İzmir,Seferihisar,0.924,0.3956
Muğla,Datça,0.923,0.3784
Sinop,Merkez,0.917,0.3586
Burdur,Merkez,0.917,0.4561
Artvin,Merkez,0.913,0.4523
Balıkesir,Ayvalık,0.907,0.4424
İzmir,Menderes,0.903,0.3409
Kastamonu,Merkez,0.892,0.3216
Kocaeli,Gölcük,0.892,0.4604
Muğla,Ortaca,0.884,0.3383
Adana,Sarıçam,0.862,0.3337
Diyarbakır,Kayapınar,0.857,0.4031
Gaziantep,Şahinbey,0.854,0.3133
Antalya,Serik,0.852,0.4341
Kırklareli,Merkez,0.85,0.3293
İzmir,Foça,0.844,0.4343
Aydın,Didim,0.842,0.3742
İzmir,Menemen,0.838,0.349
Kocaeli,Kartepe,0.837,0.3628
Yalova,Çiftlikköy,0.828,0.4397
Bilecik,Merkez,0.821,0.3601
Aydın,Söke,0.821,0.4025
İstanbul,Sultangazi,0.816,0.429
Malatya,Battalgazi,0.813,0.4252
Yozgat,Merkez,0.812,0.3891
Manisa,Şehzadeler,0.797,0.4168
Ankara,Mamak,0.779,0.3212
Bursa,Kestel,0.777,0.3877
İstanbul,Arnavutköy,0.771,0.4438
Karaman,Merkez,0.761,0.4464
İstanbul,Çatalca,0.761,0.3767
Aydın,Nazilli,0.756,0.3655
Bursa,Gemlik,0.743,0.4089
Kırıkkale,Merkez,0.726,0.3384
Erzincan,Merkez,0.724,0.2886
Ankara,Akyurt,0.705,0.345
Çankırı,Merkez,0.704,0.3953
İstanbul,Şile,0.698,0.4151
Sakarya,Sapanca,0.695,0.3065
İzmir,Selçuk,0.69,0.2829
Sakarya,Erenler,0.69,0.3025
Tekirdağ,Ergene,0.687,0.4188
Kırşehir,Merkez,0.686,0.3864
Kahramanmaraş,Onikişubat,0.686,0.411
İstanbul,Sultanbeyli,0.684,0.4313
Muğla,Milas,0.681,0.3685
Kocaeli,Derince,0.68,0.3292
İzmir,Karaburun,0.676,0.3951
Kocaeli,Dilovası,0.665,0.2834
Karabük,Safranbolu,0.662,0.2843
Gümüşhane,Merkez,0.655,0.3815
Amasya,Merkez,0.651,0.3287
Samsun,Tekkeköy,0.65,0.4249
Denizli,Honaz,0.636,0.4282
Çanakkale,Gökçeada,0.635,0.4248
Kayseri,Talas,0.631,0.3161
Edirne,Keşan,0.623,0.4
Zonguldak,Kozlu,0.622,0.3285
Manisa,Salihli,0.616,0.3132
Mersin,Tarsus,0.613,0.3516
Zonguldak,Ereğli,0.612,0.2981
İzmir,Dikili,0.609,0.3374
Bilecik,Bozüyük,0.608,0.417
Kocaeli,Darıca,0.603,0.3311
Adana,Yüreğir,0.596,0.3318
Kahramanmaraş,Dulkadiroğlu,0.595,0.3559
Balıkesir,Burhaniye,0.586,0.3572
Ankara,Polatlı,0.581,0.359
Niğde,Merkez,0.575,0.2893
Bursa,Karacabey,0.56,0.3435
Yalova,Altınova,0.556,0.3883
Samsun,Canik,0.553,0.313
Kocaeli,Körfez,0.55,0.401
Muğla,Dalaman,0.548,0.3171
Amasya,Merzifon,0.547,0.2859
Manisa,Akhisar,0.543,0.3503
Adıyaman,Merkez,0.542,0.3564
Nevşehir,Ürgüp,0.527,0.3019
Mersin,Silifke,0.519,0.3496
Osmaniye,Merkez,0.515,0.3926
Antalya,Kumluca,0.515,0.3944
Artvin,Hopa,0.502,0.2948
İzmir,Tire,0.5,0.323
Manisa,Turgutlu,0.489,0.4006
Bursa,Orhangazi,0.486,0.2786
Trabzon,Yomra,0.48,0.2919
Antalya,Aksu,0.476,0.3703
Bartın,Merkez,0.475,0.3297
Diyarbakır,Yenişehir,0.466,0.4092
Çanakkale,Gelibolu,0.465,0.33
Ankara,Elmadağ,0.462,0.3138
Konya,Ereğli,0.453,0.3214
Ankara,Pursaklar,0.447,0.4092
Şanlıurfa,Karaköprü,0.446,0.4038
Burdur,Bucak,0.439,0.2674
Çanakkale,Biga,0.426,0.4018
Manisa,Soma,0.416,0.4098
Trabzon,Akçaabat,0.405,0.2658
Balıkesir,Marmara,0.405,0.3841
Van,İpekyolu,0.404,0.3279
Kars,Merkez,0.398,0.3406
Mersin,Toroslar,0.396,0.3141
İzmir,Bergama,0.379,0.4088
Erzurum,Palandöken,0.378,0.364
Konya,Akşehir,0.372,0.2741
Konya,Beyşehir,0.369,0.2745
Batman,Merkez,0.367,0.3151
Ordu,Fatsa,0.363,0.3748
Muğla,Ula,0.355,0.3267
Balıkesir,Erdek,0.352,0.3251
Hatay,Defne,0.338,0.2599
İzmir,Ödemiş,0.336,0.2714
Mersin,Erdemli,0.331,0.2613
Kocaeli,Karamürsel,0.328,0.3021
Sakarya,Hendek,0.328,0.2584
Balıkesir,Gönen,0.326,0.2613
Hatay,Dörtyol,0.323,0.2738
Eskişehir,İnönü,0.323,0.3087
Mersin,Anamur,0.316,0.3255
Antalya,Finike,0.315,0.3989
Mardin,Artuklu,0.311,0.345
Kütahya,Tavşanlı,0.309,0.3989
Ankara,Çubuk,0.298,0.2926
Tekirdağ,Marmaraereğlisi,0.287,0.3675
Bursa,Mustafakemalpaşa,0.285,0.3207
Ankara,Beypazarı,0.269,0.319
Trabzon,Vakfıkebir,0.268,0.3519
Ordu,Ünye,0.266,0.3868
Çanakkale,Çan,0.258,0.3047
Düzce,Akçakoca,0.257,0.32
Samsun,Bafra,0.256,0.2579
Kırklareli,Babaeski,0.252,0.2393
Konya,Seydişehir,0.228,0.3585
Balıkesir,Susurluk,0.225,0.3
Artvin,Arhavi,0.222,0.3795
Bingöl,Merkez,0.214,0.3455
Muğla,Köyceğiz,0.205,0.38
Antalya,Kaş,0.203,0.268
Rize,Pazar,0.199,0.3496
Tekirdağ,Muratlı,0.193,0.3693
Kilis,Merkez,0.193,0.3529
Antalya,Demre,0.18,0.3223
Bursa,Gürsu,0.176,0.3275
Muğla,Yatağan,0.17,0.2312
Trabzon,Beşikdüzü,0.17,0.3661
Bayburt,Merkez,0.161,0.3844
Sakarya,Karasu,0.159,0.3497
Yalova,Termal,0.158,0.3112
Osmaniye,Kadirli,0.157,0.3323
Sakarya,Akyazı,0.153,0.3421
Antalya,Gazipaşa,0.152,0.356
Tekirdağ,Kapaklı,0.149,0.345
Sinop,Ayancık,0.146,0.3563
Yalova,Çınarcık,0.141,0.375
Çanakkale,Ayvacık,0.133,0.2648
Kahramanmaraş,Elbistan,0.13,0.3374
Tekirdağ,Saray,0.125,0.2521
Diyarbakır,Sur,0.124,0.3213
Niğde,Bor,0.116,0.2373
Ankara,Şereflikoçhisar,0.115,0.3606
Adana,Ceyhan,0.103,0.276
Bilecik,Söğüt,0.102,0.3732
Edirne,Uzunköprü,0.1,0.3544
Bursa,İznik,0.099,0.3629
Tekirdağ,Şarköy,0.097,0.2503
Şanlıurfa,Haliliye,0.096,0.3249
Ardahan,Merkez,0.088,0.2959
Kastamonu,Abana,0.084,0.3152
Antalya,Korkuteli,0.081,0.228
Zonguldak,Çaycuma,0.08,0.3426
Yozgat,Yerköy,0.079,0.2323
Denizli,Sarayköy,0.078,0.324
Rize,Ardeşen,0.078,0.3296
Burdur,Gölhisar,0.074,0.2812
Siirt,Merkez,0.074,0.2349
Tekirdağ,Malkara,0.068,0.2604
Hatay,Belen,0.064,0.3052
Giresun,Bulancak,0.063,0.2624
Balıkesir,Gömeç,0.062,0.2198
Bursa,Yenişehir,0.062,0.355
Erzurum,Aziziye,0.062,0.3585
Amasya,Suluova,0.061,0.2511
Çanakkale,Eceabat,0.058,0.296
Trabzon,Sürmene,0.056,0.2644
Rize,Çayeli,0.054,0.3277
Afyonkarahisar,Sandıklı,0.052,0.3135
Denizli,Acıpayam,0.052,0.2451
Çanakkale,Ezine,0.043,0.3594
Manisa,Alaşehir,0.038,0.276
Tokat,Turhal,0.037,0.2652
Iğdır,Merkez,0.033,0.2631
Ankara,Ayaş,0.032,0.3169
Yalova,Armutlu,0.029,0.2389
Erzurum,Oltu,0.025,0.29
Bolu,Gerede,0.024,0.29
Karaman,Kazımkarabekir,0.022,0.2168
Ankara,Kızılcahamam,0.022,0.3091
Rize,Fındıklı,0.018,0.3323
Diyarbakır,Bağlar,0.017,0.2233
Adana,Kozan,0.016,0.2168
Giresun,Tirebolu,0.014,0.2636
Kırklareli,Pınarhisar,0.002,0.2384
Sinop,Boyabat,-0.003,0.3716
Kırıkkale,Bahşili,-0.005,0.3594
Denizli,Buldan,-0.011,0.2836
Samsun,Çarşamba,-0.015,0.2351
Trabzon,Çaykara,-0.023,0.3176
Sakarya,Pamukova,-0.024,0.258
Kütahya,Simav,-0.027,0.2541
Hatay,Payas,-0.028,0.3431
Hatay,Samandağ,-0.029,0.2412
Kırklareli,Vize,-0.032,0.3393
Isparta,Gönen,-0.034,0.3435
Burdur,Karamanlı,-0.034,0.3335
Yozgat,Sorgun,-0.038,0.3183
Zonguldak,Devrek,-0.038,0.3326
Sakarya,Geyve,-0.043,0.3153
Nevşehir,Avanos,-0.044,0.3479
Giresun,Görele,-0.045,0.2934
Afyonkarahisar,Bolvadin,-0.045,0.2093
Bitlis,Merkez,-0.046,0.3138
Çanakkale,Lapseki,-0.056,0.2898
Trabzon,Of,-0.06,0.3015
Denizli,Serinhisar,-0.064,0.3109
Hatay,Arsuz,-0.064,0.3163
Kastamonu,Tosya,-0.066,0.223
Aydın,Çine,-0.07,0.2192
Hakkari,Merkez,-0.077,0.2354
Sakarya,Söğütlü,-0.077,0.2846
Kütahya,Gediz,-0.083,0.3622
Trabzon,Arsin,-0.083,0.2718
Osmaniye,Toprakkale,-0.084,0.2164
Isparta,Eğirdir,-0.087,0.2879
Afyonkarahisar,Dazkırı,-0.088,0.3136
Aydın,İncirliova,-0.091,0.2993
Bolu,Yeniçağa,-0.091,0.2823
Tokat,Erbaa,-0.097,0.2298
Düzce,Kaynaşlı,-0.099,0.3089
Isparta,Yalvaç,-0.1,0.2197
Ankara,Nallıhan,-0.102,0.2166
Bartın,Amasra,-0.102,0.3205
Sinop,Gerze,-0.106,0.2126
Isparta,Uluborlu,-0.113,0.3019
Manisa,Kula,-0.119,0.2199
Konya,Ilgın,-0.121,0.2091
Samsun,Havza,-0.124,0.2829
Konya,Kulu,-0.125,0.2394
Kırşehir,Kaman,-0.126,0.2484
Denizli,Çivril,-0.127,0.2082
Bitlis,Tatvan,-0.128,0.3582
Çankırı,Şabanözü,-0.13,0.2307
Nevşehir,Kozaklı,-0.13,0.2729
Afyonkarahisar,Dinar,-0.132,0.2485
Adıyaman,Gölbaşı,-0.133,0.2455
Düzce,Gümüşova,-0.134,0.3301
Samsun,Ondokuzmayıs,-0.137,0.2769
Balıkesir,Bigadiç,-0.138,0.2749
Kayseri,Develi,-0.139,0.2356
Sakarya,Ferizli,-0.139,0.2696
Ordu,Gülyalı,-0.145,0.3236
Isparta,Keçiborlu,-0.147,0.2372
Trabzon,Maçka,-0.15,0.2104
Antalya,Elmalı,-0.15,0.3563
Bilecik,Osmaneli,-0.154,0.2044
Gaziantep,Nizip,-0.157,0.2632
Konya,Cihanbeyli,-0.159,0.2079
Konya,Karapınar,-0.161,0.2384
Eskişehir,Sivrihisar,-0.163,0.2421
Denizli,Tavas,-0.165,0.2787
Artvin,Murgul,-0.165,0.2126
Giresun,Piraziz,-0.168,0.3231
Kastamonu,Seydiler,-0.169,0.2389
Tokat,Niksar,-0.169,0.3053
Zonguldak,Gökçebey,-0.17,0.3539
Zonguldak,Alaplı,-0.17,0.3058
Uşak,Eşme,-0.172,0.3449
Çankırı,Kurşunlu,-0.173,0.1998
Giresun,Espiye,-0.178,0.2114
Sivas,Şarkışla,-0.178,0.2526
Mersin,Mut,-0.179,0.2439
Antalya,Akseki,-0.182,0.2322
Tekirdağ,Hayrabolu,-0.182,0.208
Afyonkarahisar,Emirdağ,-0.183,0.2615
Adana,Pozantı,-0.185,0.2736
Tokat,Zile,-0.186,0.3353
Mersin,Aydıncık,-0.186,0.3402
Rize,İyidere,-0.187,0.3311
Van,Tuşba,-0.19,0.1942
Manisa,Demirci,-0.192,0.2391
Manisa,Saruhanlı,-0.192,0.2571
Sinop,Türkeli,-0.194,0.3035
Çorum,Osmancık,-0.194,0.3309
Rize,Güneysu,-0.195,0.285
Düzce,Çilimli,-0.196,0.305
Zonguldak,Kilimli,-0.197,0.2599
Yozgat,Boğazlıyan,-0.197,0.2535
Edirne,Havsa,-0.198,0.227
Mardin,Kızıltepe,-0.201,0.3017
Eskişehir,Çifteler,-0.202,0.2703
Samsun,Terme,-0.202,0.2156
Giresun,Şebinkarahisar,-0.204,0.2238
Hatay,Kırıkhan,-0.206,0.232
Kayseri,Yeşilhisar,-0.209,0.3152
Mersin,Bozyazı,-0.211,0.2654
Nevşehir,Hacıbektaş,-0.211,0.2457
Aksaray,Ortaköy,-0.212,0.2334
Sivas,Divriği,-0.218,0.2403
Manisa,Kırkağaç,-0.219,0.2918
Aydın,Kuyucak,-0.224,0.3279
Kastamonu,Bozkurt,-0.225,0.3153
Kütahya,Dumlupınar,-0.226,0.2997
Çanakkale,Bayramiç,-0.229,0.3496
Ağrı,Merkez,-0.231,0.1918
Denizli,Bekilli,-0.231,0.2097
Denizli,Çal,-0.232,0.3364
Çankırı,Çerkeş,-0.232,0.3325
Konya,Çumra,-0.233,0.2495
Kocaeli,Kandıra,-0.235,0.2895
Kastamonu,İnebolu,-0.236,0.3202
Denizli,Çardak,-0.236,0.2408
Düzce,Cumayeri,-0.237,0.3053
Giresun,Keşap,-0.24,0.3445
Hatay,Erzin,-0.24,0.3355
Trabzon,Araklı,-0.24,0.2571
Çorum,Sungurlu,-0.243,0.3067
Bolu,Mengen,-0.245,0.3262
Yozgat,Çandır,-0.246,0.3076
Isparta,Şarkikaraağaç,-0.249,0.237
Çankırı,Ilgaz,-0.249,0.1915
Sakarya,Kocaali,-0.253,0.2928
Samsun,Ladik,-0.26,0.2654
Uşak,Ulubey,-0.261,0.3364
Antalya,Ibradı,-0.264,0.3434
Uşak,Banaz,-0.264,0.3063
Aydın,Sultanhisar,-0.265,0.2279
Amasya,Gümüşhacıköy,-0.269,0.314
Osmaniye,Düziçi,-0.269,0.2103
Rize,Hemşin,-0.27,0.3406
Karaman,Ermenek,-0.275,0.2742
Erzincan,Kemaliye,-0.276,0.2603
Mersin,Gülnar,-0.278,0.2159
Sivas,Suşehri,-0.28,0.3416
Kırşehir,Mucur,-0.281,0.245
Aydın,Germencik,-0.282,0.2643
Edirne,Enez,-0.284,0.3225
Edirne,Süloğlu,-0.285,0.2199
Kırklareli,Demirköy,-0.286,0.3181
Rize,Çamlıhemşin,-0.287,0.2976
Artvin,Yusufeli,-0.29,0.3151
Artvin,Borçka,-0.29,0.2427
Manisa,Ahmetli,-0.292,0.1865
Aydın,Buharkent,-0.293,0.235
Kayseri,İncesu,-0.295,0.2061
Aydın,Yenipazar,-0.296,0.3267
İzmir,Kınık,-0.297,0.2252
Kütahya,Emet,-0.299,0.3181
Isparta,Atabey,-0.299,0.238
Manisa,Sarıgöl,-0.3,0.2176
Bilecik,Pazaryeri,-0.301,0.2509
Erzincan,İliç,-0.301,0.2012
Osmaniye,Bahçe,-0.302,0.3355
Muş,Merkez,-0.303,0.2764
Balıkesir,Manyas,-0.303,0.1927
Tunceli,Hozat,-0.304,0.2638
İzmir,Bayındır,-0.304,0.1877
Aydın,Köşk,-0.306,0.2111
Kahramanmaraş,Afşin,-0.307,0.2787
Eskişehir,Seyitgazi,-0.31,0.2248
Denizli,Bozkurt,-0.311,0.3305
Niğde,Ulukışla,-0.314,0.2565
Kastamonu,Taşköprü,-0.319,0.2562
Kayseri,Özvatan,-0.325,0.2852
Burdur,Tefenni,-0.325,0.2584
Afyonkarahisar,Çay,-0.328,0.3151
Samsun,Kavak,-0.331,0.2765
Şırnak,Merkez,-0.333,0.2908
Burdur,Yeşilova,-0.336,0.1829
Çorum,Alaca,-0.339,0.2526
Trabzon,Çarşıbaşı,-0.34,0.2551
Muğla,Kavaklıdere,-0.34,0.3168
Giresun,Eynesil,-0.35,0.3381
Sakarya,Kaynarca,-0.351,0.306
Eskişehir,Mahmudiye,-0.351,0.2976
Edirne,Lalapaşa,-0.351,0.3209
Yozgat,Yenifakılı,-0.352,0.2254
Bursa,Orhaneli,-0.354,0.3325
Ankara,Kalecik,-0.359,0.3136
Mardin,Midyat,-0.36,0.205
Yozgat,Şefaatli,-0.362,0.2931
Manisa,Gördes,-0.362,0.183
Gümüşhane,Torul,-0.368,0.2619
Afyonkarahisar,Sultandağı,-0.368,0.2568
Rize,Derepazarı,-0.37,0.2871
Gaziantep,İslahiye,-0.37,0.2379
Bursa,Harmancık,-0.372,0.2316
Trabzon,Dernekpazarı,-0.374,0.32
Tunceli,Ovacık,-0.375,0.284
Van,Edremit,-0.377,0.2564
Kayseri,Bünyan,-0.379,0.3135
Denizli,Kale,-0.379,0.2715
Erzurum,İspir,-0.381,0.2896
Karabük,Eskipazar,-0.383,0.2208
Nevşehir,Gülşehir,-0.385,0.2654
Hakkari,Çukurca,-0.386,0.1822
Konya,Sarayönü,-0.386,0.324
Isparta,Senirkent,-0.387,0.2214
Kırklareli,Pehlivanköy,-0.387,0.327
Kahramanmaraş,Pazarcık,-0.388,0.2921
Gaziantep,Oğuzeli,-0.389,0.3279
Erzincan,Refahiye,-0.391,0.2225
Bursa,Keles,-0.392,0.2573
Afyonkarahisar,İscehisar,-0.392,0.1988
Malatya,Arapgir,-0.393,0.2232
Yozgat,Akdağmadeni,-0.393,0.1879
Kayseri,Yahyalı,-0.395,0.2505
Mardin,Nusaybin,-0.395,0.2873
Yozgat,Çayıralan,-0.398,0.255
Sivas,Zara,-0.4,0.303
Eskişehir,Alpu,-0.401,0.1859
Çanakkale,Yenice,-0.404,0.1906
Artvin,Şavşat,-0.405,0.277
Edirne,İpsala,-0.408,0.2282
Yozgat,Sarıkaya,-0.411,0.2883
Manisa,Köprübaşı,-0.412,0.1812
Elazığ,Keban,-0.416,0.2945
Kastamonu,Devrekani,-0.416,0.2779
Samsun,Alaçam,-0.417,0.208
Ordu,Perşembe,-0.418,0.1966
Isparta,Yenişarbademli,-0.421,0.2435
Aydın,Karacasu,-0.422,0.3279
Kırıkkale,Karakeçili,-0.423,0.1818
Eskişehir,Beylikova,-0.424,0.2577
Bolu,Seben,-0.425,0.3165
Balıkesir,Savaştepe,-0.426,0.1716
Tunceli,Çemişgezek,-0.427,0.323
Afyonkarahisar,Başmakçı,-0.427,0.2283
Kastamonu,Hanönü,-0.427,0.187
Elazığ,Kovancılar,-0.428,0.2731
Gümüşhane,Kelkit,-0.429,0.2383
Malatya,Darende,-0.43,0.3269
Bilecik,İnhisar,-0.43,0.2945
Denizli,Babadağ,-0.43,0.2611
Artvin,Kemalpaşa,-0.432,0.2911
Uşak,Sivaslı,-0.434,0.2887
Adana,İmamoğlu,-0.434,0.2045
Sakarya,Taraklı,-0.437,0.2484
Bolu,Göynük,-0.441,0.327
Adıyaman,Besni,-0.444,0.2373
Bilecik,Gölpazarı,-0.446,0.3269
Burdur,Çavdır,-0.448,0.2719
Adana,Yumurtalık,-0.448,0.3274
Karabük,Yenice,-0.448,0.2311
Kastamonu,Çatalzeytin,-0.448,0.3184
Gaziantep,Nurdağı,-0.45,0.222
Bingöl,Yayladere,-0.451,0.1762
Kastamonu,Daday,-0.451,0.284
Eskişehir,Mihalgazi,-0.452,0.2702
Kastamonu,Azdavay,-0.453,0.1976
Sakarya,Karapürçek,-0.453,0.2602
Rize,Kalkandere,-0.453,0.1708
Artvin,Ardanuç,-0.454,0.2456
Balıkesir,Dursunbey,-0.456,0.2142
Denizli,Güney,-0.457,0.3204
Bolu,Mudurnu,-0.461,0.2425
Ordu,Aybastı,-0.464,0.2963
Tunceli,Pertek,-0.465,0.3056
Trabzon,Tonya,-0.469,0.2642
Balıkesir,Havran,-0.471,0.2984
Düzce,Gölyaka,-0.472,0.3039
Sivas,Kangal,-0.472,0.2082
Sivas,Gürün,-0.475,0.2061
Şırnak,Cizre,-0.475,0.1772
Burdur,Ağlasun,-0.476,0.2561
Kahramanmaraş,Türkoğlu,-0.477,0.2136
Hakkari,Yüksekova,-0.477,0.223
Balıkesir,Sındırgı,-0.477,0.2012
Sivas,Gemerek,-0.478,0.2928
Ankara,Evren,-0.478,0.2222
Kırıkkale,Keskin,-0.48,0.172
İzmir,Beydağ,-0.481,0.2428
Trabzon,Köprübaşı,-0.482,0.2633
Balıkesir,İvrindi,-0.483,0.2957
Elazığ,Karakoçan,-0.483,0.3039
Kütahya,Domaniç,-0.483,0.1945
Afyonkarahisar,Şuhut,-0.488,0.3176
Kastamonu,İhsangazi,-0.49,0.2444
Amasya,Taşova,-0.49,0.1742
Aksaray,Sarıyahşi,-0.491,0.2842
Çorum,İskilip,-0.492,0.2732
Tunceli,Pülümür,-0.492,0.1979
Ardahan,Posof,-0.492,0.24
Ankara,Güdül,-0.493,0.3161
Rize,İkizdere,-0.5,0.3019
Bilecik,Yenipazar,-0.501,0.1663
Kahramanmaraş,Göksun,-0.502,0.1648
Kastamonu,Ağlı,-0.503,0.3003
Muğla,Seydikemer,-0.505,0.2862
Mersin,Çamlıyayla,-0.505,0.196
Konya,Hüyük,-0.506,0.2633
Erzincan,Otlukbeli,-0.508,0.2135
Çorum,Dodurga,-0.511,0.1771
Sivas,Akıncılar,-0.511,0.3083
Kayseri,Pınarbaşı,-0.512,0.2527
Adıyaman,Kahta,-0.512,0.192
Kütahya,Hisarcık,-0.514,0.263
Aydın,Bozdoğan,-0.514,0.2634
Malatya,Akçadağ,-0.514,0.2647
Gümüşhane,Şiran,-0.515,0.2744
Kütahya,Şaphane,-0.516,0.2936
Kütahya,Altıntaş,-0.516,0.231
Bingöl,Kiğı,-0.517,0.1719
Çankırı,Atkaracalar,-0.518,0.2363
Adana,Tufanbeyli,-0.521,0.1966
Afyonkarahisar,Evciler,-0.525,0.2258
Eskişehir,Sarıcakaya,-0.525,0.2868
